Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-03-28,5.97e-05,6.58e-05,5.88e-05,6.23e-05,347052.97,1648511999999000000,21.81456919,3535,189331.86,11.92274818
2022-03-29,6.24e-05,6.59e-05,6.04e-05,6.17e-05,227215.45,1648598399999000000,14.23036548,2508,111180.64,6.98730902
2022-03-30,6.2e-05,6.49e-05,6.08e-05,6.38e-05,159593.0,1648684799999000000,10.0305974,2281,100417.15,6.33180969
2022-03-31,6.39e-05,6.91e-05,6.34e-05,6.43e-05,360928.75,1648771199999000000,23.82381338,3801,162887.44,10.77501449
2022-04-01,6.44e-05,6.69e-05,6.34e-05,6.38e-05,241370.85,1648857599999000000,15.71603967,2857,115516.04,7.54486986
2022-04-02,6.39e-05,6.98e-05,6.37e-05,6.66e-05,304413.42,1648943999999000000,20.46899443,4158,170636.58,11.49176225
2022-04-03,6.66e-05,6.81e-05,6.5e-05,6.59e-05,154245.76,1649030399999000000,10.26778998,2506,72143.53,4.8249559
2022-04-04,6.59e-05,6.6e-05,6.03e-05,6.24e-05,237136.22,1649116799999000000,14.97461121,2984,93342.43,5.90568671
2022-04-05,6.24e-05,6.37e-05,6.02e-05,6.16e-05,244917.69,1649203199999000000,15.23725954,3022,101679.56,6.34524701
2022-04-06,6.17e-05,6.18e-05,5.72e-05,5.78e-05,323633.98,1649289599999000000,19.25570802,3169,110153.6,6.57416364
2022-04-07,5.78e-05,6.07e-05,5.75e-05,5.96e-05,175944.92,1649375999999000000,10.4110049,2260,77029.44,4.56390175
2022-04-08,5.95e-05,5.99e-05,5.61e-05,5.77e-05,168059.31,1649462399999000000,9.73670173,2628,79551.93,4.62148403
2022-04-09,5.77e-05,5.9e-05,5.66e-05,5.88e-05,54155.55,1649548799999000000,3.12991169,1408,26489.65,1.5350402
2022-04-10,5.88e-05,5.97e-05,5.76e-05,5.84e-05,50773.43,1649635199999000000,2.97410565,923,25092.86,1.4729465
2022-04-11,5.85e-05,5.85e-05,5.06e-05,5.25e-05,293597.37,1649721599999000000,15.74018675,2582,110567.69,5.93439608
2022-04-12,5.25e-05,5.33e-05,5.02e-05,5.12e-05,450758.04,1649807999999000000,23.30793617,3338,213975.24,11.06034188
2022-04-13,5.11e-05,5.2e-05,5.03e-05,5.12e-05,170514.1,1649894399999000000,8.71786237,1636,87017.39,4.45369373
2022-04-14,5.12e-05,5.14e-05,4.91e-05,5.04e-05,258576.71,1649980799999000000,12.95722792,1760,118726.08,5.96479808
2022-04-15,5.04e-05,5.1e-05,4.99e-05,5.02e-05,76110.02,1650067199999000000,3.84183251,854,38606.54,1.95048202
2022-04-16,5.03e-05,5.05e-05,4.95e-05,4.97e-05,73432.89,1650153599999000000,3.66442571,473,36648.87,1.82751103
2022-04-17,4.98e-05,5.1e-05,4.89e-05,5.04e-05,95564.63,1650239999999000000,4.76959443,662,39627.54,1.98274303
2022-04-18,5.03e-05,5.18e-05,4.76e-05,4.92e-05,272443.01,1650326399999000000,13.45975857,2576,126439.82,6.25548868
2022-04-19,4.93e-05,5.33e-05,4.91e-05,5.15e-05,304221.09,1650412799999000000,15.53338985,2943,142226.75,7.28896238
2022-04-20,5.15e-05,5.28e-05,4.95e-05,4.97e-05,229910.39,1650499199999000000,11.72819001,2139,98253.36,5.02947751
2022-04-21,4.95e-05,5.03e-05,4.72e-05,4.73e-05,131703.63,1650585599999000000,6.44428622,1822,59456.05,2.92367215
2022-04-22,4.73e-05,4.92e-05,4.63e-05,4.86e-05,144169.28,1650671999999000000,6.87398968,1539,72323.02,3.457423
2022-04-23,4.87e-05,4.87e-05,4.69e-05,4.72e-05,100923.74,1650758399999000000,4.7968733,1124,41686.88,1.98362548
2022-04-24,4.74e-05,4.74e-05,4.49e-05,4.5e-05,103026.62,1650844799999000000,4.7392415,942,39115.28,1.80266978
2022-04-25,4.51e-05,4.59e-05,4.1e-05,4.29e-05,289467.78,1650931199999000000,12.31509681,2332,147000.41,6.25873016
2022-04-26,4.28e-05,4.31e-05,3.79e-05,3.94e-05,284099.44,1651017599999000000,11.35673907,2797,132151.36,5.32670693
2022-04-27,3.93e-05,4.05e-05,3.7e-05,3.79e-05,184764.79,1651103999999000000,7.14888236,1968,79306.47,3.07604395
2022-04-28,3.78e-05,4.08e-05,3.77e-05,3.94e-05,260866.75,1651190399999000000,10.19106483,2645,131170.87,5.12300958
2022-04-29,3.92e-05,4.01e-05,3.55e-05,3.6e-05,225065.2,1651276799999000000,8.46133742,2182,101685.23,3.83485658
2022-04-30,3.61e-05,3.67e-05,3.18e-05,3.23e-05,278220.83,1651363199999000000,9.56927688,1970,117769.28,4.02741916
2022-05-01,3.23e-05,4.72e-05,3.23e-05,4.16e-05,1852218.99,1651449599999000000,76.89550345,13240,970810.83,40.38513199
2022-05-02,4.16e-05,4.95e-05,3.91e-05,4.42e-05,1143920.32,1651535999999000000,49.31828501,8643,557928.85,24.23808743
